Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,84.989998,87.000000,83.160004,83.949997,70.809502,109409100
2017-01-01,84.860001,87.839996,83.110001,83.709999,71.024841,115258900
2017-02-01,84.059998,84.440002,79.480003,80.360001,68.182480,109564200
2017-03-01,80.910004,82.690002,76.139999,78.099998,66.670677,151782100
2017-04-01,78.300003,80.889999,72.099998,72.589996,61.967026,129505700
2017-05-01,72.699997,73.199997,68.230003,69.589996,59.406055,175648400
2017-06-01,69.669998,70.690002,65.099998,65.839996,56.608658,175121200
2017-07-01,66.120003,69.040001,64.150002,68.599998,58.981682,143273000
2017-08-01,68.500000,69.370003,62.560001,63.509998,54.605350,143572800
2017-09-01,63.200001,70.010002,62.970001,69.760002,59.979046,130750000
2017-10-01,68.730003,69.570000,61.400002,64.000000,55.463303,179132600
2017-11-01,64.620003,67.680000,61.020000,62.849998,54.466686,177524000
2017-12-01,63.230000,68.400002,61.779999,67.389999,58.401127,181909700
2018-01-01,68.070000,80.349998,67.599998,73.580002,64.262840,207069000
2018-02-01,73.790001,75.559998,63.369999,65.639999,57.328255,185654800
2018-03-01,65.489998,69.209999,62.669998,64.779999,56.976429,144593100
2018-04-01,64.370003,71.250000,62.020000,68.559998,60.301086,153544400
2018-05-01,68.110001,75.430000,66.889999,68.669998,60.397842,148751800
2018-06-01,68.639999,70.470001,64.510002,67.029999,58.955387,161397800
2018-07-01,66.449997,69.610001,64.730003,67.519997,59.819401,136705800
2018-08-01,67.000000,67.309998,61.820000,63.160000,55.956654,134188400
2018-09-01,63.060001,63.139999,59.250000,60.919998,53.972118,171170700
2018-10-01,61.200001,63.650002,50.799999,51.310001,45.820873,222917300
2018-11-01,51.599998,52.939999,44.680000,45.099998,40.275219,244690700
2018-12-01,46.279999,46.610001,34.990002,36.080002,32.220173,353283400
2019-01-01,35.490002,45.049999,35.340000,44.209999,39.911446,307943600
2019-02-01,44.400002,46.349998,42.230000,44.060001,39.776016,170229600
2019-03-01,44.220001,45.660000,40.880001,43.570000,39.789021,182027000
2019-04-01,43.980000,48.880001,42.389999,42.680000,38.976254,186080700
2019-05-01,42.630001,42.889999,34.459999,34.689999,31.679621,218306300
2019-06-01,34.990002,39.779999,34.660000,39.740002,36.291393,213639800
2019-07-01,40.419998,41.400002,37.290001,39.970001,37.023026,204011500
2019-08-01,39.380001,39.450001,31.030001,32.430000,30.038948,245273900
2019-09-01,31.180000,40.250000,31.110001,34.169998,31.650656,245488900
2019-10-01,34.360001,35.650002,30.650000,32.689999,30.753931,309561700
2019-11-01,33.049999,37.220001,32.970001,36.200001,34.056057,209044300
2019-12-01,36.450001,40.930000,34.520000,40.200001,37.819157,202122000
2020-01-01,40.520000,41.139999,33.000000,33.509998,31.964931,262225700
2020-02-01,33.439999,35.660000,25.450001,27.090000,25.840944,233007800
2020-03-01,27.650000,27.910000,11.870000,13.490000,13.058081,645079000
2020-04-01,13.090000,18.600000,12.170000,16.820000,16.281464,480110500
2020-05-01,16.320000,19.360001,15.110000,18.469999,17.878635,298120800
2020-06-01,18.510000,23.740000,17.299999,18.389999,17.801197,377322400
2020-07-01,18.500000,19.920000,16.959999,18.139999,17.679108,277258700
2020-08-01,18.100000,21.270000,17.870001,19.010000,18.527004,203225700
2020-09-01,18.520000,19.680000,15.420000,15.560000,15.164660,281478100
2020-10-01,15.360000,16.600000,13.700000,14.940000,14.656786,360091400
2020-11-01,15.120000,22.500000,14.780000,20.790001,20.395891,312477300
2020-12-01,21.370001,23.889999,20.870001,21.830000,21.416176,246642600
2021-01-01,22.080000,26.730000,21.230000,22.209999,21.920769,290871900
2021-02-01,22.500000,29.870001,21.799999,27.910000,27.546541,253165700
2021-03-01,28.760000,30.410000,26.190001,27.190001,26.961815,355810800
2021-04-01,27.450001,28.340000,24.520000,27.049999,26.822987,241677500
2021-05-01,27.530001,34.330002,27.480000,31.330000,31.067070,282486700
2021-06-01,31.959999,36.869999,31.280001,32.009998,31.741362,269119500
2021-07-01,33.000000,33.560001,25.910000,28.830000,28.702568,223245100
2021-08-01,28.850000,29.709999,25.900000,28.040001,27.916061,206022900
2021-09-01,28.070000,31.580000,26.440001,29.639999,29.639999,232532900
2021-10-01,29.840000,34.990002,29.480000,32.259998,32.259998,263968700
2021-11-01,32.750000,34.639999,32.189999,32.759998,32.759998,99223800
