Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,59.419998,59.480000,58.689999,58.980000,58.202915,334900
2019-07-02,59.000000,59.470001,59.000000,59.349998,58.568043,142700
2019-07-03,59.450001,60.090000,59.450001,60.080002,59.288425,80500
2019-07-05,59.770000,60.130001,59.439999,60.090000,59.298290,408000
2019-07-08,59.919998,60.009998,59.689999,59.860001,59.071323,53800
2019-07-09,59.779999,59.849998,59.540001,59.820000,59.031853,62900
2019-07-10,60.130001,60.310001,59.840000,59.959999,59.170002,55100
2019-07-11,60.150002,60.150002,59.540001,59.869999,59.081188,89100
2019-07-12,59.910000,60.220001,59.770000,60.090000,59.298290,62700
2019-07-15,60.330002,60.330002,59.779999,59.840000,59.051586,50800
2019-07-16,59.840000,59.860001,59.599998,59.650002,58.864090,81500
2019-07-17,59.669998,59.799999,59.540001,59.549999,58.765411,123500
2019-07-18,59.590000,59.840000,59.369999,59.770000,58.982506,57600
2019-07-19,59.910000,59.950001,59.209999,59.240002,58.459492,48200
2019-07-22,59.560001,59.560001,59.209999,59.209999,58.429882,78200
2019-07-23,59.459999,59.599998,59.099998,59.599998,58.814743,52600
2019-07-24,59.520000,60.160000,59.520000,60.130001,59.337765,98200
2019-07-25,60.130001,60.130001,59.689999,59.700001,58.913437,104900
2019-07-26,60.070000,60.279999,59.849998,60.279999,59.485786,114300
2019-07-29,60.259998,60.330002,59.759998,59.889999,59.100929,43900
2019-07-30,59.799999,59.930000,59.650002,59.880001,59.091057,43700
2019-07-31,59.889999,60.139999,59.080002,59.320000,58.538433,70800
2019-08-01,59.520000,59.810001,58.680000,58.840000,58.064758,146300
2019-08-02,58.810001,58.810001,58.009998,58.330002,57.561478,78400
2019-08-05,57.509998,57.669998,56.189999,56.759998,56.012165,122700
2019-08-06,57.150002,57.680000,56.930000,57.669998,56.910172,234800
2019-08-07,57.169998,58.150002,56.900002,57.980000,57.216091,61100
2019-08-08,58.259998,59.169998,58.110001,59.169998,58.390411,133700
2019-08-09,58.950001,59.040001,58.450001,58.669998,57.896999,41800
2019-08-12,58.299999,58.299999,57.650002,57.779999,57.018726,70600
2019-08-13,57.549999,58.689999,57.549999,58.340000,57.571350,80800
2019-08-14,57.630001,57.630001,56.970001,57.080002,56.327950,60500
2019-08-15,57.160000,57.349998,56.880001,57.200001,56.446365,54200
2019-08-16,57.549999,58.299999,57.549999,58.259998,57.492397,44600
2019-08-19,58.799999,58.799999,58.480000,58.560001,57.788448,58300
2019-08-20,58.490002,58.490002,58.110001,58.160000,57.393719,41400
2019-08-21,58.580002,58.580002,58.279999,58.459999,57.689766,56100
2019-08-22,58.560001,58.619999,58.080002,58.549999,57.778580,52700
2019-08-23,58.270000,58.430000,57.130001,57.340000,56.584522,35800
2019-08-26,57.669998,57.790001,57.340000,57.750000,56.989120,81900
2019-08-27,58.130001,58.130001,57.400002,57.459999,56.702942,89600
2019-08-28,57.250000,57.880001,57.250000,57.730000,56.969383,39200
2019-08-29,58.200001,58.400002,58.090000,58.310001,57.541748,80400
2019-08-30,58.459999,58.590000,57.990002,58.310001,57.541748,198600
2019-09-03,57.930000,58.150002,57.669998,57.990002,57.225964,746000
2019-09-04,58.340000,58.430000,58.160000,58.360001,57.591084,58800
2019-09-05,58.759998,58.990002,58.599998,58.830002,58.054890,87500
2019-09-06,58.840000,59.130001,58.830002,58.869999,58.094360,159800
2019-09-09,59.000000,59.000000,58.119999,58.270000,57.502270,66200
2019-09-10,57.980000,57.980000,57.360001,57.959999,57.196354,147100
2019-09-11,58.099998,58.680000,57.980000,58.680000,57.906864,45200
2019-09-12,59.009998,59.110001,58.740002,58.790001,58.015423,44500
2019-09-13,59.000000,59.060001,58.500000,58.639999,57.867397,32300
2019-09-16,58.360001,58.779999,58.360001,58.630001,57.857529,310800
2019-09-17,58.560001,58.919998,58.500000,58.869999,58.094360,148800
2019-09-18,58.930000,58.959999,58.240002,58.810001,58.035156,81200
2019-09-19,59.020000,59.119999,58.799999,58.820000,58.045021,89300
2019-09-20,58.869999,59.200001,58.700001,58.860001,58.084499,40400
2019-09-23,58.700001,59.060001,58.560001,58.910000,58.312157,69200
2019-09-24,59.049999,59.230000,58.410000,58.520000,57.926117,66400
2019-09-25,58.570000,58.869999,58.240002,58.779999,58.183483,45200
2019-09-26,58.700001,58.720001,58.310001,58.520000,57.926117,31800
2019-09-27,58.689999,58.689999,57.560001,57.860001,57.272816,48500
2019-09-30,57.869999,58.380001,57.830002,58.270000,57.678654,41000
2019-10-01,58.439999,58.459999,57.480000,57.480000,56.896671,218000
2019-10-02,57.220001,57.220001,56.750000,57.040001,56.461140,54500
2019-10-03,56.950001,57.470001,56.639999,57.459999,56.876877,78500
2019-10-04,57.549999,58.290001,57.549999,58.290001,57.698456,47100
2019-10-07,58.080002,58.340000,57.939999,58.099998,57.510384,136400
2019-10-08,57.709999,57.730000,57.150002,57.160000,56.579922,29600
2019-10-09,57.610001,57.770000,57.340000,57.680000,57.094643,223000
2019-10-10,57.700001,57.970001,57.610001,57.709999,57.124340,68300
2019-10-11,58.369999,58.680000,58.160000,58.259998,57.668755,50700
2019-10-14,58.240002,58.240002,57.910000,57.959999,57.371799,55900
2019-10-15,58.119999,58.299999,58.020000,58.080002,57.490589,117600
2019-10-16,58.029999,58.029999,57.709999,57.990002,57.401501,100500
2019-10-17,58.369999,58.669998,58.119999,58.610001,58.015205,45600
2019-10-18,58.400002,58.680000,58.180000,58.450001,57.856834,51500
2019-10-21,58.669998,58.740002,58.459999,58.459999,57.866726,50700
2019-10-22,58.680000,58.680000,58.029999,58.029999,57.441093,52200
2019-10-23,58.189999,58.230000,57.910000,58.119999,57.530178,38300
2019-10-24,58.230000,58.389999,58.009998,58.240002,57.648960,67300
2019-10-25,58.240002,58.439999,58.119999,58.320000,57.728153,63200
2019-10-28,58.549999,58.959999,58.549999,58.630001,58.035004,110100
2019-10-29,58.619999,59.220001,58.619999,59.009998,58.411148,71900
2019-10-30,59.160000,59.169998,58.759998,59.130001,58.529926,40000
2019-10-31,59.439999,59.439999,58.869999,59.150002,58.549725,30200
2019-11-01,59.250000,59.439999,59.169998,59.290001,58.688305,134900
2019-11-04,59.290001,59.290001,59.290001,59.290001,58.688305,0
2019-11-05,58.820000,59.000000,58.540001,58.590000,57.995411,64500
2019-11-06,58.580002,58.759998,58.459999,58.680000,58.084492,83300
2019-11-07,58.880001,58.980000,58.349998,58.410000,57.817238,60000
2019-11-08,58.380001,58.669998,58.380001,58.639999,58.044903,119600
2019-11-11,58.380001,58.820000,58.380001,58.770000,58.173584,212100
2019-11-12,58.959999,59.080002,58.759998,58.880001,58.282471,47400
2019-11-13,58.669998,59.130001,58.669998,59.049999,58.450737,29200
2019-11-14,59.000000,59.230000,58.980000,59.220001,58.619015,35400
2019-11-15,59.480000,59.480000,59.290001,59.430000,58.826881,40300
2019-11-18,59.540001,59.720001,59.430000,59.630001,59.024860,51900
2019-11-19,59.779999,60.130001,59.730000,60.020000,59.410900,45100
2019-11-20,60.049999,60.369999,59.689999,60.060001,59.450489,43500
2019-11-21,60.180000,60.180000,59.410000,59.450001,58.846684,43900
2019-11-22,59.630001,59.650002,59.150002,59.500000,58.896172,39000
2019-11-25,59.790001,60.209999,59.700001,60.040001,59.430695,26600
2019-11-26,60.160000,60.520000,60.090000,60.470001,59.856327,43200
2019-11-27,60.520000,60.930000,60.520000,60.919998,60.301758,60800
2019-11-29,60.720001,60.900002,60.299999,60.299999,59.688057,19100
2019-12-02,60.540001,60.540001,59.720001,59.889999,59.282219,62700
2019-12-03,59.529999,59.900002,59.430000,59.900002,59.292114,70300
2019-12-04,60.099998,60.410000,60.099998,60.320000,59.707851,38200
2019-12-05,60.630001,60.630001,60.150002,60.310001,59.697956,46800
2019-12-06,60.810001,60.910000,60.610001,60.660000,60.044399,45700
2019-12-09,60.599998,60.599998,60.310001,60.310001,59.697956,46400
2019-12-10,60.150002,60.310001,60.029999,60.139999,59.529675,109700
2019-12-11,60.270000,60.270000,60.009998,60.250000,59.638561,82800
2019-12-12,60.240002,60.580002,60.080002,60.340000,59.727650,36200
2019-12-13,60.500000,60.500000,60.000000,60.139999,59.529675,57500
2019-12-16,60.540001,60.599998,60.299999,60.459999,59.846432,75800
2019-12-17,60.680000,60.680000,60.310001,60.380001,59.767246,65400
2019-12-18,60.549999,60.549999,60.139999,60.200001,59.589073,56200
2019-12-19,60.259998,60.740002,60.250000,60.680000,60.064201,51500
2019-12-20,60.770000,61.310001,60.770000,61.250000,60.628414,51900
2019-12-23,61.480000,61.480000,60.849998,60.919998,60.470585,98700
2019-12-24,60.910000,61.000000,60.770000,60.919998,60.470585,28200
2019-12-26,60.900002,61.209999,60.900002,61.169998,60.718742,42200
2019-12-27,61.450001,61.450001,61.060001,61.220001,60.768372,30800
2019-12-30,61.299999,61.299999,60.750000,61.130001,60.679035,47700
2019-12-31,61.139999,61.349998,61.099998,61.139999,60.688965,36800
2020-01-02,61.270000,61.470001,60.639999,61.270000,60.818005,205800
2020-01-03,60.470001,61.400002,60.470001,61.279999,60.827927,123500
2020-01-06,60.939999,61.459999,60.919998,61.389999,60.937115,148000
2020-01-07,61.200001,61.369999,61.080002,61.150002,60.698891,49700
2020-01-08,61.220001,61.500000,61.200001,61.220001,60.768372,174600
2020-01-09,61.490002,61.820000,61.400002,61.669998,61.215050,98000
2020-01-10,61.759998,61.990002,61.669998,61.930000,61.473133,82500
2020-01-13,61.959999,62.610001,61.930000,62.570000,62.108418,78300
2020-01-14,62.419998,62.650002,62.299999,62.470001,62.009155,46400
2020-01-15,62.470001,63.150002,62.470001,62.919998,62.455830,62400
2020-01-16,63.369999,63.529999,63.290001,63.529999,63.061333,69900
2020-01-17,63.750000,63.750000,63.380001,63.459999,62.991844,107400
2020-01-21,63.430000,63.580002,63.180000,63.549999,63.081181,63000
2020-01-22,63.799999,64.050003,63.349998,63.439999,62.971992,67000
2020-01-23,63.299999,63.660000,63.009998,63.459999,62.991844,60400
2020-01-24,63.790001,63.820000,62.939999,63.160000,62.694061,99100
2020-01-27,62.349998,63.029999,62.130001,62.799999,62.336720,93700
2020-01-28,63.200001,63.490002,62.889999,63.369999,62.902512,112600
2020-01-29,63.750000,63.750000,63.250000,63.250000,62.783394,112600
2020-01-30,63.279999,63.500000,62.889999,63.500000,63.031559,56600
2020-01-31,63.529999,63.560001,62.400002,62.540001,62.078636,93500
2020-02-03,63.029999,63.410000,62.980000,63.060001,62.594803,99600
2020-02-04,63.830002,63.950001,63.549999,63.549999,63.081181,175900
2020-02-05,64.209999,64.209999,63.410000,63.529999,63.061333,78100
2020-02-06,63.610001,63.840000,63.540001,63.750000,63.279709,50300
2020-02-07,63.549999,63.669998,63.299999,63.419998,62.952145,33100
2020-02-10,63.430000,63.980000,63.380001,63.980000,63.508011,105800
2020-02-11,64.250000,64.389999,64.040001,64.190002,63.716465,43200
2020-02-12,64.320000,64.339996,63.889999,64.230003,63.756172,88400
2020-02-13,63.959999,65.050003,63.959999,64.900002,64.421227,100200
2020-02-14,65.080002,65.120003,64.900002,65.099998,64.619751,65100
2020-02-18,65.089996,65.230003,64.889999,65.139999,64.659454,48000
2020-02-19,65.169998,65.519997,65.169998,65.220001,64.738853,38400
2020-02-20,65.120003,65.120003,64.269997,64.820000,64.341820,42200
2020-02-21,64.889999,64.889999,64.180000,64.320000,63.845505,51600
2020-02-24,63.060001,63.340000,62.500000,62.990002,62.525318,138400
2020-02-25,63.400002,63.400002,61.009998,61.040001,60.589706,167300
2020-02-26,61.119999,61.919998,60.480000,60.610001,60.162872,93000
2020-02-27,59.700001,60.470001,58.419998,58.419998,57.989033,181300
2020-02-28,56.799999,57.490002,55.430000,57.020000,56.599358,510300
2020-03-02,57.279999,59.099998,56.650002,59.049999,58.614380,507100
2020-03-03,59.270000,60.110001,57.759998,58.310001,57.879845,285800
2020-03-04,59.360001,60.730000,59.090000,60.720001,60.272060,117100
2020-03-05,59.500000,59.910000,58.599998,59.209999,58.773197,69600
2020-03-06,57.720001,58.580002,56.919998,58.419998,57.989033,152500
2020-03-09,55.000000,55.730000,53.029999,54.150002,53.750530,154400
2020-03-10,55.419998,55.910000,53.270000,55.910000,55.497543,133900
2020-03-11,54.529999,54.790001,52.000000,52.529999,52.142479,269000
2020-03-12,48.709999,49.990002,43.200001,47.790001,47.437450,654600
2020-03-13,50.169998,51.330002,47.110001,51.330002,50.951336,194900
2020-03-16,46.200001,47.930000,43.400002,44.180000,43.854080,307400
2020-03-17,44.980000,47.040001,43.750000,46.570000,46.226448,235700
2020-03-18,43.540001,45.299999,40.910000,42.020000,41.710014,244300
